Location Number and Desc,Time Level - REQUIRED,Gross Margin Amt,Gross Margin Amt LY,Gross Margin %,Gross Margin % LY,Clr EOP Inv Qty,Reg POS EOP Inv Qty,Total EOP Qty,EOP Inv Qty,Reg POS Net Sales Qty,Clr Net Sales Qty,Inventory Health Index,Total Sell Through%,Regular Sell Through%,Clearance Sell Through%,Weeks Of Supply
"2712 CAPITAL CITY MALL - CAMP HILL, PA",WK,233615,212488,34.99,31.26,33282,171853,205135,205135,6505,1309,4.38,3.67,3.65,3.78,26
"2712 CAPITAL CITY MALL - CAMP HILL, PA",WTD,159700,143426,37.49,35.14,33282,171853,205135,205135,3272,1714,4.38,2.37,1.87,4.9,41
"2712 CAPITAL CITY MALL - CAMP HILL, PA",YTD,2884009,2713617,31.91,29.99,33282,171853,205135,205135,70819,34963,4.38,34.02,29.18,51.23,101
"2795 STONEBRIAR MALL - FRISCO, TX",DY,71098,67303,37.82,35.52,33151,165771,198922,198922,1827,865,3.96,1.34,1.09,2.54,11
"2795 STONEBRIAR MALL - FRISCO, TX",HTD,2701574,2574965,30.89,29.76,33151,165771,198922,198922,90187,35067,3.96,38.64,35.24,51.4,21
"2795 STONEBRIAR MALL - FRISCO, TX",LW,46072,46173,33.52,32.01,33151,165771,198922,198922,1616,352,3.96,0.98,0.97,1.05,101
"2795 STONEBRIAR MALL - FRISCO, TX",MTD,406992,358161,35.6,31.73,33151,165771,198922,198922,12779,3591,3.96,7.6,7.16,9.77,49
"2795 STONEBRIAR MALL - FRISCO, TX",QTD,2621808,2355857,37.58,33.77,33151,165771,198922,198922,83266,16639,3.96,33.43,33.44,33.42,26
"2795 STONEBRIAR MALL - FRISCO, TX",WK,213894,184456,35.26,32.94,33151,165771,198922,198922,6921,1767,3.96,4.18,4.01,5.06,23
"2795 STONEBRIAR MALL - FRISCO, TX",WTD,190813,185303,31.27,29.95,33151,165771,198922,198922,5860,2877,3.96,4.21,3.41,7.99,23
"2795 STONEBRIAR MALL - FRISCO, TX",YTD,3958417,4007282,38.64,37.32,33151,165771,198922,198922,105348,41353,3.96,42.45,38.86,55.5,71
"766 BRANDON TOWN CTR - BRANDON, FL",DY,101222,95023,38.19,34.7,55845,150622,206467,206467,2540,475,4.12,1.44,1.66,0.84,10
"766 BRANDON TOWN CTR - BRANDON, FL",HTD,2660692,2642670,32.14,30.37,55845,150622,206467,206467,62103,32075,4.12,31.33,29.19,36.48,28
"766 BRANDON TOWN CTR - BRANDON, FL",LW,34634,32116,38.62,34.95,55845,150622,206467,206467,858,162,4.12,0.49,0.57,0.29,202
"766 BRANDON TOWN CTR - BRANDON, FL",MTD,663494,604727,33.18,29.86,55845,150622,206467,206467,15270,7477,4.12,9.92,9.2,11.81,36
"766 BRANDON TOWN CTR - BRANDON, FL",QTD,2289285,1973516,39.64,35.83,55845,150622,206467,206467,54593,11094,4.12,24.14,26.6,16.57,41
"766 BRANDON TOWN CTR - BRANDON, FL",WK,139849,131945,29.48,26.68,55845,150622,206467,206467,3690,1707,4.12,2.55,2.39,2.97,38
"766 BRANDON TOWN CTR - BRANDON, FL",WTD,164279,145105,41.37,38.87,55845,150622,206467,206467,3559,958,4.12,2.14,2.31,1.69,46
"766 BRANDON TOWN CTR - BRANDON, FL",YTD,2561832,2436142,33.87,32.5,55845,150622,206467,206467,69182,16858,4.12,29.41,31.47,23.19,125
"786 MARLEY STATION MALL - GLEN BURNIE, MD",DY,84382,78395,34.1,30.96,32317,147680,179997,179997,3155,1144,4.04,2.33,2.09,3.42,6
"786 MARLEY STATION MALL - GLEN BURNIE, MD",HTD,1452580,1370426,41.83,39.93,32317,147680,179997,179997,49790,10543,4.04,25.1,25.21,24.6,39
"786 MARLEY STATION MALL - GLEN BURNIE, MD",LW,71277,68906,34.6,33.53,32317,147680,179997,179997,2358,1221,4.04,1.95,1.57,3.64,50
"786 MARLEY STATION MALL - GLEN BURNIE, MD",MTD,302341,268101,33.52,29.63,32317,147680,179997,179997,12988,2682,4.04,8.01,8.08,7.66,46
"786 MARLEY STATION MALL - GLEN BURNIE, MD",QTD,2113791,1918820,35.81,34.75,32317,147680,179997,179997,70686,31887,4.04,36.3,32.37,49.67,23
"786 MARLEY STATION MALL - GLEN BURNIE, MD",WK,205759,195605,32.31,29.49,32317,147680,179997,179997,7642,3423,4.04,5.79,4.92,9.58,16
"786 MARLEY STATION MALL - GLEN BURNIE, MD",WTD,129802,123669,34.7,31.75,32317,147680,179997,179997,4988,1511,4.04,3.48,3.27,4.47,28
"786 MARLEY STATION MALL - GLEN BURNIE, MD",YTD,3440173,2900100,35.15,31.7,32317,147680,179997,179997,136105,33934,4.04,48.58,47.96,51.22,55
