Fiscal Date,Location Number and Desc,Net Sales Retail Amt,Net Sales Retail Amt LY,Net Sales Retail Amt Var LY %,Net Sales Qty,Net Sales Qty LY,Net Sales Qty Var LY %,Clr Net Sales Retail Amt,Clr Net Sales Retail Amt LY,Clr Net Sales Retail Amt Var LY %,Clearance Sales %,Clr Net Sales Qty,Clr Net Sales Qty LY,Clr Net Sales Qty Var LY %,Selling Margin Amt,Selling Margin Amt LY,Selling Margin % LY,Selling Margin %,Net Sales AUR,Net Sales AUR LY,Net Sales AUR Var LY %
02-04-2025,"2795 STONEBRIAR MALL - FRISCO, TX",18179.0,19684.0,-7.6,734,861,-14.8,3392.0,2989.0,13.5,18.7%,170,157,8.3,8690.0,8785.0,44.6,47.8,24.77,22.86,8.3
02-04-2025,"766 BRANDON TOWN CTR - BRANDON, FL",20424.0,18464.0,10.6,795,774,2.7,3249.0,3521.0,-7.7,15.9%,113,140,-19.3,9082.0,9771.0,52.9,44.5,25.69,23.86,7.7
02-04-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10224.0,10113.0,1.1,483,467,3.4,1595.0,1573.0,1.4,15.6%,77,87,-11.5,4377.0,4526.0,44.8,42.8,21.17,21.65,-2.2
02-05-2025,"232 TACOMA MALL - TACOMA, WA",10581.0,11997.0,-11.8,480,505,-5.0,1373.0,1508.0,-8.9,13.0%,50,47,6.4,5142.0,5563.0,46.4,48.6,22.04,23.76,-7.2
02-05-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7349.0,6813.0,7.9,334,345,-3.2,1939.0,2014.0,-3.7,26.4%,73,72,1.4,3604.0,3200.0,47.0,49.0,22.0,19.75,11.4
02-05-2025,"2795 STONEBRIAR MALL - FRISCO, TX",19952.0,21409.0,-6.8,793,937,-15.4,3319.0,3372.0,-1.6,16.6%,86,85,1.2,8735.0,10062.0,47.0,43.8,25.16,22.85,10.1
02-05-2025,"766 BRANDON TOWN CTR - BRANDON, FL",29935.0,30698.0,-2.5,1055,1018,3.6,3822.0,3354.0,14.0,12.8%,175,146,19.9,14543.0,15720.0,51.2,48.6,28.37,30.16,-5.9
02-05-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",13112.0,12652.0,3.6,589,622,-5.3,2734.0,2626.0,4.1,20.9%,151,151,0.0,5468.0,5516.0,43.6,41.7,22.26,20.34,9.4
02-06-2025,"232 TACOMA MALL - TACOMA, WA",13383.0,13906.0,-3.8,525,515,1.9,2445.0,2147.0,13.9,18.3%,105,94,11.7,5898.0,6646.0,47.8,44.1,25.49,27.0,-5.6
02-06-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9974.0,10169.0,-1.9,471,475,-0.8,2004.0,2272.0,-11.8,20.1%,81,79,2.5,4721.0,4716.0,46.4,47.3,21.18,21.41,-1.1
02-06-2025,"2795 STONEBRIAR MALL - FRISCO, TX",21457.0,23087.0,-7.1,863,1080,-20.1,3976.0,4722.0,-15.8,18.5%,114,102,11.8,9940.0,10477.0,45.4,46.3,24.86,21.38,16.3
02-06-2025,"766 BRANDON TOWN CTR - BRANDON, FL",16992.0,15654.0,8.6,629,509,23.6,2540.0,2499.0,1.7,14.9%,120,105,14.3,7825.0,7255.0,46.3,46.0,27.02,30.75,-12.2
02-06-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8459.0,7995.0,5.8,378,353,7.1,1415.0,1675.0,-15.5,16.7%,38,51,-25.5,4110.0,3323.0,41.6,48.6,22.38,22.65,-1.2
02-07-2025,"232 TACOMA MALL - TACOMA, WA",11083.0,11994.0,-7.6,462,496,-6.9,2570.0,2473.0,3.9,23.2%,84,83,1.2,5230.0,5420.0,45.2,47.2,23.99,24.18,-0.8
02-07-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8762.0,8937.0,-2.0,387,380,1.8,1813.0,1877.0,-3.4,20.7%,67,67,0.0,4282.0,4281.0,47.9,48.9,22.64,23.52,-3.7
02-07-2025,"2795 STONEBRIAR MALL - FRISCO, TX",19554.0,21204.0,-7.8,783,788,-0.6,3463.0,3077.0,12.5,17.7%,197,225,-12.4,9655.0,9981.0,47.1,49.4,24.97,26.91,-7.2
02-07-2025,"766 BRANDON TOWN CTR - BRANDON, FL",23273.0,21642.0,7.5,928,900,3.1,3906.0,3926.0,-0.5,16.8%,165,159,3.8,10496.0,10167.0,47.0,45.1,25.08,24.05,4.3
02-07-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",9744.0,9929.0,-1.9,429,442,-2.9,2574.0,2478.0,3.9,26.4%,64,51,25.5,4179.0,4385.0,44.2,42.9,22.71,22.46,1.1
02-08-2025,"232 TACOMA MALL - TACOMA, WA",15925.0,15715.0,1.3,746,759,-1.7,3279.0,3705.0,-11.5,20.6%,136,146,-6.8,7615.0,8031.0,51.1,47.8,21.35,20.7,3.1
02-08-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",13319.0,12739.0,4.6,564,550,2.5,3361.0,3126.0,7.5,25.2%,145,162,-10.5,6544.0,5757.0,45.2,49.1,23.62,23.16,2.0
02-08-2025,"2795 STONEBRIAR MALL - FRISCO, TX",28591.0,31527.0,-9.3,1180,1117,5.6,6151.0,6110.0,0.7,21.5%,277,238,16.4,14150.0,14195.0,45.0,49.5,24.23,28.22,-14.2
02-08-2025,"766 BRANDON TOWN CTR - BRANDON, FL",36353.0,32516.0,11.8,1250,1135,10.1,4327.0,4462.0,-3.0,11.9%,91,104,-12.5,17404.0,15882.0,48.8,47.9,29.08,28.65,1.5
02-08-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",6968.0,6312.0,10.4,304,294,3.4,1548.0,1639.0,-5.6,22.2%,69,56,23.2,3276.0,2926.0,46.4,47.0,22.92,21.47,6.8
02-09-2025,"232 TACOMA MALL - TACOMA, WA",14971.0,15776.0,-5.1,606,642,-5.6,2438.0,2504.0,-2.6,16.3%,113,101,11.9,7562.0,7591.0,48.1,50.5,24.7,24.57,0.5
02-09-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10640.0,11095.0,-4.1,452,416,8.7,2447.0,2246.0,9.0,23.0%,80,82,-2.4,5049.0,5510.0,49.7,47.5,23.54,26.67,-11.7
02-09-2025,"2795 STONEBRIAR MALL - FRISCO, TX",27444.0,32594.0,-15.8,1037,1087,-4.6,5645.0,4514.0,25.1,20.6%,238,284,-16.2,12913.0,14895.0,45.7,47.1,26.47,29.99,-11.7
02-09-2025,"766 BRANDON TOWN CTR - BRANDON, FL",30274.0,27687.0,9.3,1002,984,1.8,2783.0,2929.0,-5.0,9.2%,37,38,-2.6,13586.0,12491.0,45.1,44.9,30.21,28.14,7.4
02-09-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",6820.0,6937.0,-1.7,302,321,-5.9,1404.0,1436.0,-2.2,20.6%,65,69,-5.8,3093.0,2950.0,42.5,45.3,22.58,21.61,4.5
02-10-2025,"232 TACOMA MALL - TACOMA, WA",11372.0,11688.0,-2.7,478,494,-3.2,2327.0,2520.0,-7.7,20.5%,85,65,30.8,5572.0,5289.0,45.3,49.0,23.79,23.66,0.5
02-10-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",5858.0,5744.0,2.0,296,309,-4.2,1052.0,1192.0,-11.7,18.0%,59,59,0.0,2791.0,2908.0,50.6,47.6,19.79,18.59,6.5
02-10-2025,"2795 STONEBRIAR MALL - FRISCO, TX",21280.0,22233.0,-4.3,914,1027,-11.0,3451.0,4045.0,-14.7,16.2%,87,73,19.2,9491.0,10442.0,47.0,44.6,23.28,21.65,7.5
02-10-2025,"766 BRANDON TOWN CTR - BRANDON, FL",19996.0,18468.0,8.3,694,636,9.1,2721.0,2430.0,12.0,13.6%,39,36,8.3,9897.0,8964.0,48.5,49.5,28.81,29.04,-0.8
02-10-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",9963.0,9320.0,6.9,434,471,-7.9,2300.0,2224.0,3.4,23.1%,118,134,-11.9,4285.0,4136.0,44.4,43.0,22.96,19.79,16.0
02-11-2025,"232 TACOMA MALL - TACOMA, WA",11595.0,12175.0,-4.8,483,541,-10.7,2766.0,2532.0,9.2,23.9%,150,156,-3.8,5537.0,5828.0,47.9,47.8,24.01,22.5,6.7
02-11-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9336.0,8856.0,5.4,427,406,5.2,1422.0,1697.0,-16.2,15.2%,26,29,-10.3,4317.0,4088.0,46.2,46.2,21.86,21.81,0.2
02-11-2025,"2795 STONEBRIAR MALL - FRISCO, TX",22864.0,23911.0,-4.4,956,1093,-12.5,3920.0,3473.0,12.9,17.1%,163,163,0.0,10866.0,12372.0,51.7,47.5,23.92,21.88,9.3
02-11-2025,"766 BRANDON TOWN CTR - BRANDON, FL",27047.0,25540.0,5.9,889,800,11.1,3861.0,4027.0,-4.1,14.3%,141,127,11.0,12836.0,12452.0,48.8,47.5,30.42,31.93,-4.7
02-11-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12355.0,13064.0,-5.4,537,473,13.5,2612.0,2524.0,3.5,21.1%,118,90,31.1,5346.0,5366.0,41.1,43.3,23.01,27.62,-16.7
02-12-2025,"232 TACOMA MALL - TACOMA, WA",15263.0,15467.0,-1.3,616,750,-17.9,2418.0,2523.0,-4.2,15.8%,56,52,7.7,6485.0,7625.0,49.3,42.5,24.78,20.62,20.1
02-12-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",6578.0,6497.0,1.3,291,296,-1.7,1335.0,1243.0,7.4,20.3%,55,61,-9.8,3260.0,3336.0,51.3,49.6,22.61,21.95,3.0
02-12-2025,"2795 STONEBRIAR MALL - FRISCO, TX",17223.0,17917.0,-3.9,742,870,-14.7,3790.0,3840.0,-1.3,22.0%,149,154,-3.2,8372.0,8777.0,49.0,48.6,23.21,20.59,12.7
02-12-2025,"766 BRANDON TOWN CTR - BRANDON, FL",21124.0,20759.0,1.8,799,732,9.2,2673.0,2980.0,-10.3,12.7%,111,79,40.5,9422.0,9547.0,46.0,44.6,26.44,28.36,-6.8
02-12-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",6698.0,6712.0,-0.2,313,321,-2.5,1523.0,1370.0,11.2,22.7%,65,71,-8.5,2895.0,3039.0,45.3,43.2,21.4,20.91,2.3
02-13-2025,"232 TACOMA MALL - TACOMA, WA",12856.0,13186.0,-2.5,529,522,1.3,2428.0,2178.0,11.5,18.9%,138,117,17.9,6163.0,6141.0,46.6,47.9,24.3,25.26,-3.8
02-13-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9368.0,9431.0,-0.7,399,383,4.2,1888.0,1765.0,7.0,20.2%,64,68,-5.9,4664.0,4575.0,48.5,49.8,23.48,24.62,-4.7
02-13-2025,"2795 STONEBRIAR MALL - FRISCO, TX",16238.0,16018.0,1.4,665,774,-14.1,3050.0,3431.0,-11.1,18.8%,95,92,3.3,7551.0,7462.0,46.6,46.5,24.42,20.69,18.0
02-13-2025,"766 BRANDON TOWN CTR - BRANDON, FL",12622.0,13221.0,-4.5,484,423,14.4,1656.0,1517.0,9.1,13.1%,40,41,-2.4,6199.0,6753.0,51.1,49.1,26.08,31.26,-16.6
02-13-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",7998.0,7908.0,1.1,350,341,2.6,2197.0,2375.0,-7.5,27.5%,68,70,-2.9,3255.0,3119.0,39.4,40.7,22.85,23.19,-1.5
02-14-2025,"232 TACOMA MALL - TACOMA, WA",12260.0,13117.0,-6.5,540,593,-8.9,2676.0,2796.0,-4.3,21.8%,98,78,25.6,5707.0,6420.0,48.9,46.5,22.7,22.12,2.6
02-14-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7680.0,6978.0,10.1,329,335,-1.8,1208.0,1237.0,-2.4,15.7%,55,51,7.8,3595.0,3568.0,51.1,46.8,23.34,20.83,12.1
02-14-2025,"2795 STONEBRIAR MALL - FRISCO, TX",20341.0,21063.0,-3.4,828,855,-3.2,3826.0,4347.0,-12.0,18.8%,127,111,14.4,9573.0,8659.0,41.1,47.1,24.57,24.63,-0.3
02-14-2025,"766 BRANDON TOWN CTR - BRANDON, FL",35600.0,33420.0,6.5,1102,1036,6.4,4551.0,4044.0,12.5,12.8%,48,51,-5.9,16768.0,16322.0,48.8,47.1,32.31,32.26,0.1
02-14-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",7696.0,7718.0,-0.3,328,346,-5.2,2167.0,1792.0,20.9,28.2%,90,92,-2.2,3271.0,3311.0,42.9,42.5,23.46,22.31,5.2
02-15-2025,"232 TACOMA MALL - TACOMA, WA",17642.0,18671.0,-5.5,758,742,2.2,4058.0,4130.0,-1.7,23.0%,132,151,-12.6,8623.0,8801.0,47.1,48.9,23.27,25.16,-7.5
02-15-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7428.0,6596.0,12.6,323,278,16.2,1284.0,1346.0,-4.6,17.3%,49,46,6.5,3573.0,2825.0,42.8,48.1,23.0,23.73,-3.1
02-15-2025,"2795 STONEBRIAR MALL - FRISCO, TX",29432.0,31858.0,-7.6,1181,1466,-19.4,4668.0,4864.0,-4.0,15.9%,116,121,-4.1,14153.0,14699.0,46.1,48.1,24.92,21.73,14.7
02-15-2025,"766 BRANDON TOWN CTR - BRANDON, FL",32767.0,30459.0,7.6,1127,1133,-0.5,5818.0,6690.0,-13.0,17.8%,167,158,5.7,15189.0,13997.0,46.0,46.4,29.07,26.88,8.1
02-15-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12114.0,11758.0,3.0,546,462,18.2,3011.0,2721.0,10.7,24.9%,80,71,12.7,5071.0,5089.0,43.3,41.9,22.19,25.45,-12.8
02-16-2025,"232 TACOMA MALL - TACOMA, WA",15829.0,15684.0,0.9,683,666,2.6,2360.0,2492.0,-5.3,14.9%,95,92,3.3,8011.0,7796.0,49.7,50.6,23.18,23.55,-1.6
02-16-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11131.0,10150.0,9.7,464,401,15.7,1881.0,2010.0,-6.4,16.9%,74,71,4.2,5331.0,4667.0,46.0,47.9,23.99,25.31,-5.2
02-16-2025,"2795 STONEBRIAR MALL - FRISCO, TX",26626.0,30395.0,-12.4,1017,1103,-7.8,2971.0,3199.0,-7.1,11.2%,47,41,14.6,11992.0,13589.0,44.7,45.0,26.18,27.56,-5.0
02-16-2025,"766 BRANDON TOWN CTR - BRANDON, FL",29868.0,28670.0,4.2,1062,1066,-0.4,4673.0,5050.0,-7.5,15.6%,150,121,24.0,14334.0,12255.0,42.7,48.0,28.12,26.9,4.6
02-16-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",14716.0,15556.0,-5.4,610,694,-12.1,2787.0,2931.0,-4.9,18.9%,64,61,4.9,6520.0,6585.0,42.3,44.3,24.12,22.42,7.6
02-17-2025,"232 TACOMA MALL - TACOMA, WA",11458.0,12614.0,-9.2,496,483,2.7,1714.0,1860.0,-7.9,15.0%,111,120,-7.5,5967.0,6233.0,49.4,52.1,23.1,26.12,-11.5
02-17-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11854.0,10483.0,13.1,496,484,2.5,2634.0,2488.0,5.9,22.2%,117,99,18.2,5745.0,5345.0,51.0,48.5,23.9,21.66,10.3
02-17-2025,"2795 STONEBRIAR MALL - FRISCO, TX",31297.0,33632.0,-6.9,1180,1159,1.8,5873.0,6106.0,-3.8,18.8%,274,276,-0.7,14443.0,14656.0,43.6,46.1,26.52,29.02,-8.6
02-17-2025,"766 BRANDON TOWN CTR - BRANDON, FL",23626.0,22781.0,3.7,847,809,4.7,4582.0,4489.0,2.1,19.4%,186,162,14.8,11124.0,10645.0,46.7,47.1,27.89,28.16,-0.9
02-17-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8105.0,8136.0,-0.4,389,420,-7.4,1907.0,2109.0,-9.6,23.5%,93,104,-10.6,3248.0,3538.0,43.5,40.1,20.83,19.37,7.5
02-18-2025,"232 TACOMA MALL - TACOMA, WA",9217.0,10129.0,-9.0,419,432,-3.0,1754.0,1536.0,14.2,19.0%,82,79,3.8,4670.0,4955.0,48.9,50.7,22.0,23.45,-6.2
02-18-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8669.0,8547.0,1.4,390,368,6.0,1799.0,1843.0,-2.4,20.8%,69,71,-2.8,4045.0,3894.0,45.6,46.7,22.23,23.23,-4.3
02-18-2025,"2795 STONEBRIAR MALL - FRISCO, TX",21898.0,23329.0,-6.1,822,876,-6.2,3178.0,3141.0,1.2,14.5%,44,50,-12.0,9378.0,9637.0,41.3,42.8,26.64,26.63,0.0
02-18-2025,"766 BRANDON TOWN CTR - BRANDON, FL",28048.0,25517.0,9.9,915,852,7.4,2978.0,3403.0,-12.5,10.6%,78,95,-17.9,13023.0,11992.0,47.0,46.4,30.65,29.95,2.3
02-18-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",13634.0,14023.0,-2.8,604,746,-19.0,3717.0,4033.0,-7.8,27.3%,154,141,9.2,5935.0,6319.0,45.1,43.5,22.57,18.8,20.1
02-19-2025,"232 TACOMA MALL - TACOMA, WA",10550.0,10998.0,-4.1,462,493,-6.3,2187.0,2280.0,-4.1,20.7%,92,71,29.6,5115.0,5417.0,49.3,48.5,22.84,22.31,2.4
02-19-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7005.0,7083.0,-1.1,333,293,13.7,1389.0,1332.0,4.2,19.8%,64,60,6.7,3266.0,3402.0,48.0,46.6,21.04,24.18,-13.0
02-19-2025,"2795 STONEBRIAR MALL - FRISCO, TX",21779.0,20900.0,4.2,945,1004,-5.9,4393.0,4296.0,2.3,20.2%,183,181,1.1,9190.0,9591.0,45.9,42.2,23.05,20.82,10.7
02-19-2025,"766 BRANDON TOWN CTR - BRANDON, FL",26336.0,25444.0,3.5,889,920,-3.4,2809.0,2688.0,4.5,10.7%,48,34,41.2,12048.0,11332.0,44.5,45.7,29.62,27.66,7.1
02-19-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8317.0,8842.0,-5.9,382,368,3.8,1728.0,1579.0,9.4,20.8%,76,80,-5.0,3601.0,3638.0,41.1,43.3,21.77,24.03,-9.4
02-20-2025,"232 TACOMA MALL - TACOMA, WA",12523.0,14388.0,-13.0,529,542,-2.4,2199.0,1918.0,14.6,17.6%,122,123,-0.8,5886.0,6693.0,46.5,47.0,23.67,26.55,-10.8
02-20-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8251.0,8475.0,-2.6,350,374,-6.4,1788.0,1882.0,-5.0,21.7%,63,73,-13.7,4110.0,3730.0,44.0,49.8,23.58,22.66,4.0
02-20-2025,"2795 STONEBRIAR MALL - FRISCO, TX",19720.0,22953.0,-14.1,848,891,-4.8,3620.0,3770.0,-4.0,18.4%,129,125,3.2,9038.0,10675.0,46.5,45.8,23.25,25.76,-9.7
02-20-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24613.0,24132.0,2.0,855,749,14.2,4306.0,4268.0,0.9,17.5%,198,220,-10.0,11782.0,11816.0,49.0,47.9,28.79,32.22,-10.7
02-20-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11079.0,10992.0,0.8,467,483,-3.3,2600.0,1838.0,41.5,23.5%,127,133,-4.5,4900.0,4070.0,37.0,44.2,23.72,22.76,4.2
02-21-2025,"232 TACOMA MALL - TACOMA, WA",8241.0,9172.0,-10.2,341,343,-0.6,1601.0,1961.0,-18.3,19.4%,47,47,0.0,3843.0,4465.0,48.7,46.6,24.17,26.74,-9.6
02-21-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",12116.0,10960.0,10.5,522,498,4.8,2059.0,1906.0,8.0,17.0%,82,91,-9.9,5843.0,5297.0,48.3,48.2,23.21,22.01,5.5
02-21-2025,"2795 STONEBRIAR MALL - FRISCO, TX",20816.0,20992.0,-0.8,854,979,-12.8,3886.0,3726.0,4.3,18.7%,173,144,20.1,9187.0,9890.0,47.1,44.1,24.37,21.44,13.7
02-21-2025,"766 BRANDON TOWN CTR - BRANDON, FL",23580.0,23166.0,1.8,926,795,16.5,3463.0,3578.0,-3.2,14.7%,156,150,4.0,11384.0,10770.0,46.5,48.3,25.46,29.14,-12.6
02-21-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12753.0,13109.0,-2.7,520,553,-6.0,3492.0,3535.0,-1.2,27.4%,163,166,-1.8,5489.0,5893.0,45.0,43.0,24.53,23.71,3.5
02-22-2025,"232 TACOMA MALL - TACOMA, WA",12669.0,13422.0,-5.6,563,614,-8.3,2123.0,2043.0,3.9,16.8%,104,113,-8.0,6123.0,6608.0,49.2,48.3,22.5,21.86,2.9
02-22-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9058.0,8345.0,8.5,362,353,2.5,1675.0,1630.0,2.8,18.5%,40,38,5.3,4172.0,4113.0,49.3,46.1,25.02,23.64,5.8
02-22-2025,"2795 STONEBRIAR MALL - FRISCO, TX",27447.0,28667.0,-4.3,1098,990,10.9,5278.0,5297.0,-0.4,19.2%,228,228,0.0,11490.0,13830.0,48.2,41.9,25.0,28.96,-13.7
02-22-2025,"766 BRANDON TOWN CTR - BRANDON, FL",33855.0,32241.0,5.0,1193,1215,-1.8,4232.0,3995.0,5.9,12.5%,165,181,-8.8,15808.0,15835.0,49.1,46.7,28.38,26.54,6.9
02-22-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10206.0,9866.0,3.4,428,416,2.9,2459.0,2593.0,-5.1,24.1%,100,89,12.4,4293.0,4365.0,44.2,42.1,23.84,23.72,0.5
02-23-2025,"232 TACOMA MALL - TACOMA, WA",10274.0,11490.0,-10.6,442,465,-4.9,1883.0,1961.0,-3.9,18.3%,120,122,-1.6,4666.0,5651.0,49.2,45.4,23.25,24.71,-5.9
02-23-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11318.0,10955.0,3.3,452,406,11.3,2109.0,2204.0,-4.4,18.6%,100,117,-14.5,5302.0,5240.0,47.8,46.8,25.04,26.98,-7.2
02-23-2025,"2795 STONEBRIAR MALL - FRISCO, TX",22850.0,24584.0,-7.1,998,1160,-14.0,3956.0,5067.0,-21.9,17.3%,101,94,7.4,10155.0,11999.0,48.8,44.4,22.9,21.19,8.0
02-23-2025,"766 BRANDON TOWN CTR - BRANDON, FL",28508.0,26596.0,7.2,1026,882,16.3,4361.0,3688.0,18.3,15.3%,152,164,-7.3,13596.0,12516.0,47.1,47.7,27.79,30.15,-7.9
02-23-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10392.0,11141.0,-6.7,461,517,-10.8,2534.0,2659.0,-4.7,24.4%,110,123,-10.6,4391.0,5136.0,46.1,42.2,22.54,21.55,4.6
02-24-2025,"232 TACOMA MALL - TACOMA, WA",14518.0,15653.0,-7.2,595,561,6.1,2874.0,2646.0,8.6,19.8%,124,143,-13.3,6653.0,7825.0,50.0,45.8,24.4,27.9,-12.5
02-24-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11624.0,11330.0,2.6,513,538,-4.6,1923.0,1854.0,3.7,16.5%,76,79,-3.8,5643.0,5256.0,46.4,48.5,22.66,21.06,7.6
02-24-2025,"2795 STONEBRIAR MALL - FRISCO, TX",23853.0,25033.0,-4.7,972,1162,-16.4,3757.0,3720.0,1.0,15.8%,136,132,3.0,10986.0,10594.0,42.3,46.1,24.54,21.54,13.9
02-24-2025,"766 BRANDON TOWN CTR - BRANDON, FL",19789.0,20060.0,-1.4,717,686,4.5,2363.0,2372.0,-0.4,11.9%,121,120,0.8,9395.0,9594.0,47.8,47.5,27.6,29.24,-5.6
02-24-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11427.0,11941.0,-4.3,589,615,-4.2,1828.0,1758.0,4.0,16.0%,77,86,-10.5,5077.0,5563.0,46.6,44.4,19.4,19.42,-0.1
02-25-2025,"232 TACOMA MALL - TACOMA, WA",12721.0,13324.0,-4.5,511,532,-3.9,2394.0,2746.0,-12.8,18.8%,80,56,42.9,6298.0,6009.0,45.1,49.5,24.89,25.04,-0.6
02-25-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7166.0,6658.0,7.6,318,362,-12.2,1378.0,1627.0,-15.3,19.2%,39,37,5.4,3304.0,3118.0,46.8,46.1,22.53,18.39,22.5
